CODI_PROGRAMA,CODI_EXPEDIENT,CODI_UPC_UD,CREDITS,CURS,QUAD,SUPERA,NOTA_PROF,NOTA_NUM_AVAL,NOTA_NUM_DEF,GRUP_CLASSE
752,228029,240012,6,2010,1,S,7.4,7.4,7.4,12
752,227712,240012,6,2010,1,S,5.7,5.7,5.7,21
752,227752,240012,6,2010,1,S,7.5,7.5,7.5,21
752,227328,240011,6,2010,1,S,7.1,7.1,7.1,22
754,233182,240011,6,2010,1,N,1.6,1.6,1.6,32
752,227284,240011,6,2010,1,S,5.3,5.3,5.3,33
754,231155,240011,6,2010,1,N,3.6,3.6,3.6,73
752,227123,240012,6,2010,1,N,2.9,2.9,2.9,11
752,228530,240012,6,2010,1,N,1.8,1.8,1.8,33
752,226679,240012,6,2010,1,S,6.5,6.5,6.5,41
752,226738,240012,6,2010,1,N,3.1,3.1,3.1,41
752,227142,240012,6,2010,1,S,5.4,5.4,5.4,41
752,227264,240012,6,2010,1,S,6.7,6.7,6.7,41
752,228154,240012,6,2010,1,S,7.3,7.3,7.3,41
752,229451,240012,6,2010,1,S,5.5,5.5,5.5,41
752,226980,240011,6,2010,1,S,5.3,5.3,5.3,32
752,227791,240011,6,2010,1,N,4,4,4,32
752,227935,240011,6,2010,1,S,7.6,7.6,7.6,32
752,228227,240011,6,2010,1,S,5.8,5.8,5.8,33
752,228260,240011,6,2010,1,S,7.5,7.5,7.5,33
752,228355,240012,6,2010,1,S,10,10,10,11
752,232933,240012,6,2010,1,S,5.1,5.1,5.1,11
753,226999,240214,6,2010,1,S,7.4,7.4,7.4,61
752,228047,240011,6,2010,1,S,7,7,7,32
753,228189,240214,6,2010,1,S,6.9,6.9,6.9,61
753,229519,240214,6,2010,1,S,7.8,7.8,7.8,61
753,230408,240214,6,2010,1,S,5,5,5,61
753,233136,240012,6,2010,1,N,2.8,2.8,2.8,61
753,227002,240012,6,2010,1,N,3.8,3.8,3.8,62
752,228324,240012,6,2010,1,S,5,5,5,62
752,226950,240012,6,2010,1,S,5.5,5.5,5.5,31
752,227436,240012,6,2010,1,S,7.1,7.1,7.1,31
752,227958,240012,6,2010,1,S,6,6,6,31
752,228494,240012,6,2010,1,S,4.3,4.3,5,31
753,228517,240214,6,2010,1,S,6.8,6.8,6.8,51
754,230945,240012,6,2010,1,S,7,7,7,53
754,231255,240012,6,2010,1,N,0.2,0.2,0.2,53
753,227130,240012,6,2010,1,N,0.4,0.4,0.4,61
753,227809,240012,6,2010,1,S,5,5,5,61
753,229807,240012,6,2010,1,N,4.7,4.7,4.7,61
753,229941,240011,6,2010,1,N,4.1,4.1,4.1,51
753,233070,240011,6,2010,1,N,4,4,4,51
752,226410,240011,6,2010,1,S,6.6,6.6,6.6,52
752,227236,240011,6,2010,1,N,0.7,0.7,0.7,52
752,227609,240011,6,2010,1,S,6.8,6.8,6.8,52
752,227935,240012,6,2010,1,S,7,7,7,32
752,228046,240012,6,2010,1,S,5.3,5.3,5.3,32
752,228164,240012,6,2010,1,S,6.5,6.5,6.5,32
752,228576,240012,6,2010,1,N,4.7,4.7,4.7,32
752,230157,240012,6,2010,1,S,6.2,6.2,6.2,32
