HSCHOOL,AC_YEAR,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
INST.PIUS FONT I QUER,2013,11.412,7.5,8.1,7.6,8.6,7.4,7.0,5.1,6.0,5.5,7.5,7.03,1.14,10.0,0.0,10.0,6.925,6.8,7.05,7.45,7.08,60.0,60.0,1.0,7.08,1,18
INST.CRISTOFOL FERRER,2011,10.522,5.7,6.0,5.2,5.1,4.2,7.3,5.0,3.7,5.5,6.7,5.44,1.07,8.0,2.0,10.0,6.0,4.45,5.3,5.45,6.19,72.0,60.0,0.833,5.158,1,95
INST.BALDIRI GUILERA,2011,9.864,4.6,6.6,4.6,2.0,5.0,6.8,5.1,5.7,7.3,7.6,5.53,1.66,7.0,3.0,10.0,5.775,5.15,4.65,6.3,6.158,78.0,60.0,0.769,4.737,1,118
INST.BALDIRI GUILERA,2015,11.176,6.7,4.2,6.4,5.0,6.8,4.0,5.0,3.1,5.4,5.7,5.23,1.22,7.0,3.0,10.0,4.975,4.75,5.2,6.25,5.238,60.0,42.0,0.7,3.666,1,92
SANT GABRIEL-VILADECANS,2011,10.54,5.0,5.8,3.1,3.6,5.4,5.8,5.2,5.3,7.3,4.6,5.11,1.18,7.0,3.0,10.0,5.45,4.2,5.45,5.0,5.815,79.5,60.0,0.755,4.389,1,126
SANT GABRIEL-VILADECANS,2012,11.984,5.65,5.1,5.7,6.7,6.6,5.1,5.05,5.2,7.45,6.2,5.875,1.115,8.5,1.5,10.0,5.225,5.45,7.075,6.4,6.045,69.75,60.0,0.878,5.335,2,68
SANT GABRIEL-VILADECANS,2015,10.884,5.65,2.1,4.65,4.2,5.85,2.2,3.05,3.15,5.5,7.2,4.355,1.98,5.5,4.5,10.0,3.25,3.9,4.85,6.525,4.632,63.0,36.0,0.578,2.719,2,126
INST.EUGENI D'ORS - VILAFRANCA,2011,9.972,6.1,5.5,6.0,5.0,7.0,5.4,5.7,5.0,6.5,8.4,6.06,1.04,10.0,0.0,10.0,5.675,5.5,5.75,7.7,6.108,60.0,60.0,1.0,6.108,1,49
INST.EUGENI D'ORS - VILAFRANCA,2013,9.958,3.3,5.0,5.0,7.1,7.0,5.0,1.0,3.4,5.0,6.1,4.79,1.84,7.0,3.0,10.0,3.575,4.2,6.05,6.55,5.988,84.0,60.0,0.714,4.277,1,115
INST.EUGENI D'ORS - VILAFRANCA,2014,10.47,5.1,5.1,2.7,5.6,5.3,5.0,2.9,2.0,4.1,4.3,4.21,1.26,5.0,5.0,10.0,4.525,2.35,4.85,4.8,5.832,96.0,60.0,0.625,3.645,1,126
