Nom,Nom naturalesa,Adreça,Codi postal,Comarca,Codi comarca,Municipi,Codi municipi
INST.BALDIRI GUILERA,Públic,"C. Mestre Vigo Garreta, 1",8820,Baix Llobregat,11,El Prat de Llobregat,8169
SANT GABRIEL-VILADECANS,Privat,"Av. Germans Gabrielistes, 22",8840,Baix Llobregat,11,Viladecans,8301
INST.EUGENI D'ORS - VILAFRANCA,Públic,"Av. Tarragona, s/n",8720,Alt Penedès,3,Vilafranca del Penedès,8305
SANT JAUME DE LA FEP,Privat,"C. Santiago Apóstol, 36-38-40",8903,Barcelonès,13,L'Hospitalet de Llobregat,8101
INST.L'ALZINA,Públic,"Ptge. Salvador Riera, s/n",8027,Barcelonès,13,Barcelona,8019
INST.TOSSA DE MAR,Públic,"Av. Catalunya, s/n",17320,Selva,34,Tossa de Mar,17202
FEDAC-HORTA,Privat,"C. Campoamor, 49",8031,Barcelonès,13,Barcelona,8019
INST.ESCOLA DEL TREBALL-BCN,Públic,"C. Comte d'Urgell, 187",8036,Barcelonès,13,Barcelona,8019
INST.GABRIELA MISTRAL,Públic,"C. Osca, 95-105",8620,Baix Llobregat,11,Sant Vicenç dels Horts,8263
CORAZON INMACULADO DE MARIA,Privat,"Ctra. de Castellar, 2",8181,Vallès Occidental,40,Sentmenat,8267
SANT JOSEP - SANT BOI,Privat,"Av. Can Carreras, 16-18",8830,Baix Llobregat,11,Sant Boi de Llobregat,8200
INST.LES TERMES,Públic,"C. Illa Bella, 20",8204,Vallès Occidental,40,Sabadell,8187
INST.MONTSERRAT,Públic,"C. Copèrnic, 84",8006,Barcelonès,13,Barcelona,8019
INST.VILATZARA,Públic,"Av. Arquitecte Eduard Farrés, 101",8340,Maresme,21,Vilassar de Mar,8219
LESTONNAC - LLEIDA,Privat,"Av. Prat de la Riba, 38",25008,Segrià,33,Lleida,25120
VEDRUNA-MALGRAT DE MAR,Privat,"C. Mar, 30-32",8380,Maresme,21,Malgrat de Mar,8110
INST.LLUIS DE PEGUERA,Públic,"Pl. Espanya, 2",8240,Bages,7,Manresa,8113
SAGRADA FAMILIA - SABADELL,Privat,"C. Indústria, 9",8202,Vallès Occidental,40,Sabadell,8187
INST.JAUME ALMERA,Públic,"C. Rafart, 5",8339,Maresme,21,Vilassar de Dalt,8214
INST.COSTA I LLOBERA,Públic,"Camí de la Capella de Can Caralleu, s/n",8017,Barcelonès,13,Barcelona,8019
INST.BERNAT EL FERRER,Públic,"C. Ntra. Sra. de Lourdes, 34",8750,Baix Llobregat,11,Molins de Rei,8123
REIAL MONESTIR DE SANTA ISABEL,Privat,"C. Cardenal Setmenat, 1-5",8017,Barcelonès,13,Barcelona,8019
INST.JOSEP VALLVERDÚ,Públic,"C. Dr. Josep Trueta, s/n",25400,Garrigues,18,Les Borges Blanques,25058
INST.LES VINYES,Públic,"C. Amèrica, 53",8924,Barcelonès,13,Santa Coloma de Gramenet,8245
MONLAU,Privat,"C. Monlau, 2,4,6",8027,Barcelonès,13,Barcelona,8019
INST.JOAN MIRO-CORNELLA,Públic,"Av. Mare de Déu de Montserrat, s/n",8940,Baix Llobregat,11,Cornellà de Llobregat,8073
SANTO ANGEL - GAVÀ,Privat,"Av. de les Bòbiles, s/n",8850,Baix Llobregat,11,Gavà,8089
INST.CAN MAS,Públic,"C. Pau Casals, 102-104",8291,Vallès Occidental,40,Ripollet,8180
GRAVI,Privat,"Av. Vallcarca, 258",8023,Barcelonès,13,Barcelona,8019
VEDRUNA-PALAMóS,Privat,"C. Xaloc, 22",17230,Baix Empordà,10,Palamós,17118
INST.JOAN BROSSA,Públic,"Av. Mare de Déu de Montserrat, 78-84",8024,Barcelonès,13,Barcelona,8019
INST.RAMON BERENGUER IV-S.COL,Públic,"C. Ramon Berenguer, 157",8924,Barcelonès,13,Santa Coloma de Gramenet,8245
JAUME BALMES,Privat,"Travessia IndustRial, 161",8907,Barcelonès,13,L'Hospitalet de Llobregat,8101
INST.LLAVANERES,Públic,"Pg. del Perelló, 2",8392,Maresme,21,Sant Andreu de Llavaneres,8197
INST.DOMENEC PERRAMON,Públic,"paratge Torrent d'en Terra, s/n",8358,Maresme,21,Arenys de Munt,8007
INST.MANUEL BLANCAFORT,Públic,"Av. 11 de Setembre, s/n",8530,Vallès Oriental,41,La Garriga,8088
INST.REGUISSOL,Públic,"Pg. Reguissol, 1",8460,Vallès Oriental,41,Santa Maria de Palautordera,8259
INST.CREU DE SABA,Públic,"Av. de Francesc Macià, 193",8640,Baix Llobregat,11,Olesa de Montserrat,8147
ESCOLA PIA DE SITGES,Privat,"C. Hort Gran, 8",8870,Garraf,17,Sitges,8270
TERRAFERMA,Privat,"C. de Lleida, 270",25110,Segrià,33,Alpicat,25023
INST.VIL.LA ROMANA,Públic,"C. Santa Maria del Camí, s/n",8530,Vallès Oriental,41,La Garriga,8088
INST.PERE BARNILS,Públic,"Av. Pere Barnils, s/n",8540,Osona,24,Centelles,8067
ESCOLA PIA DE CALDES DE MONTB.,Privat,"C. Pare Poch, 15",8140,Vallès Oriental,41,Caldes de Montbui,8033
FERT,Privat,"C. Pomaret, 23",8017,Barcelonès,13,Barcelona,8019
INST.EUGENI XAMMAR,Públic,"Antic Camí de Bigues, s/n",8480,Vallès Oriental,41,L'Ametlla del Vallès,8005
PUIGCERVER,Privat,"C. Astorga, 13",43205,Baix Camp,8,Reus,43123
ARRELS II,Privat,"Av. Cardenal Tarancón, s/n",25280,Solsonès,35,Solsona,25207
INST.LA SERRETA,Públic,"C. Lepant, 1",8191,Vallès Occidental,40,Rubí,8184
INST.SA PALOMERA,Públic,"C. Vilar Petit, s/n",17300,Selva,34,Blanes,17023
